"id","sinif","mezmun_xetti","standart_kodu","standart_metni","alt_standart_kodu","alt_standart_metni","yaradilma_tarixi","pisa_seviyyesi","pirls_kateqoriya","bloom_seviyyesi"
23,1,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","1-2.2.2","Verbal informasiyanı qrafik təsvirlə uyğunlaşdırır.",2026-03-17 19:59:43.623487,"1a","inteqrasiya","anlamaq"
24,1,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","1-2.2.3","Mətndə rast gəldiyi söz və ifadələrin mənasını anladığını nümayiş etdirir.",2026-03-17 19:59:43.623487,"1b","məlumat alma","anlamaq"
26,1,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","1-2.3.2","Obrazların xarakterindəki əsas xüsusiyyəti müəyyən edir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
25,1,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","1-2.3.1","Mətndəki hadisələr arasındakı səbəb-nəticə əlaqəsini müəyyən edir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
27,1,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","1-2.3.3","Mətndə əsas fikri müəyyən edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
29,1,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","1-2.4.2","Təxəyyülündən çıxış edərək mətnin məzmununa yaradıcı yanaşır.",2026-03-17 19:59:43.623487,"2","qiymətləndirmə","yaratmaq"
28,1,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","1-2.4.1","Mətndəki obrazlara və onların davranışına münasibətini bildirir.",2026-03-17 19:59:43.623487,"1a","qiymətləndirmə","anlamaq"
30,1,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","1-2.4.3","Nəzm və nəsrlə yazılmış mətnlərin məzmun-struktur xüsusiyyətlərini müəyyən edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
33,1,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","1-3.1.3","Öyrəndiyi sadə orfoqrafiya və punktuasiya qaydalarına yazısında riayət edir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
31,1,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","1-3.1.1","Yazısında hüsnxət normalarına riayət edir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
32,1,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","1-3.1.2","Yazısında hadisələrin ardıcıllığına riayət edir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
36,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.3","Sadə əməli yazılar (anket, açıqca) yazır.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
34,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.1","Bildiyi məlumatları yazıda əks etdirir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
35,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.2","Verilmiş plan əsasında mövzu ilə bağlı fikirlərini yazır.",2026-03-17 19:59:43.623487,"1a","şərh etmə","tətbiq etmək"
37,1,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","1-3.2.4","Təqdimat üçün müxtəlif vizual forma və üsullar seçir.",2026-03-17 19:59:43.623487,"1a","inteqrasiya","tətbiq etmək"
39,2,"Dil qaydaları","4.1","Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","2-4.1.2","Sözlərin əlifba sırasına uyğun ardıcıllığını müəyyən edir.",2026-03-17 19:59:43.623487,"1b","məlumat alma","xatırlamaq"
38,2,"Dil qaydaları","4.1","Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","2-4.1.1","Saitlərin növlərini müəyyən edir.",2026-03-17 19:59:43.623487,"1b","məlumat alma","xatırlamaq"
40,2,"Dil qaydaları","4.1","Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","2-4.1.3","Yazıda sadə orfoqrafik normalarına riayət edir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
41,2,"Dil qaydaları","4.2","Qrammatika: Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir.","2-4.2.1","Ad, əlamət, say, hərəkət bildirən sözlərin ümumi qrammatik mənalarını və morfoloji tərkibini müəyyən edir.",2026-03-17 19:59:43.623487,"1a","məlumat alma","anlamaq"
42,2,"Dil qaydaları","4.2","Qrammatika: Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir.","2-4.2.2","Cümlənin ifadə etdiyi fikri müəyyən edir, məqsəd və intonasiyaya görə növlərini fərqləndirir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
43,2,"Dil qaydaları","4.3","Punktuasiya: Yazıda sadə punktuasiya qaydalarına əməl edir.","2-4.3.1","Cümlə sonunda müvafiq durğu işarələrindən istifadə edir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
44,2,"Dil qaydaları","4.3","Punktuasiya: Yazıda sadə punktuasiya qaydalarına əməl edir.","2-4.3.2","Vergül işarəsindən istifadə ilə bağlı sadə qaydalara əməl edir.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
46,2,"Dil qaydaları","4.4","Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.","2-4.4.2","Sözlərin mənalarını müxtəlif üsullarla izah edir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
45,2,"Dil qaydaları","4.4","Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.","2-4.4.1","Kontekstdən çıxış edərək sözün mənasını müəyyən edir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
48,2,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","2-1.1.2","Dinlədiyi mətnin məzmununu şərh edir, obraz və fikirlərə münasibət bildirir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
47,2,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","2-1.1.1","Dinlədiyi mətndəki əsas məqamlarla bağlı faktoloji suallara cavab verir.",2026-03-17 19:59:43.623487,"1b","məlumat alma","xatırlamaq"
49,2,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","2-1.1.3","Dinlədiyi mətni genişləndirir, davamını təxmin edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
51,2,"Dinləmə və danışma","1.2","Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.","2-1.2.2","Mövzu üzrə əvvəlcədən müəyyənləşdirdiyi suallar əsasında dialoq qurur.",2026-03-17 19:59:43.623487,"1a","inteqrasiya","tətbiq etmək"
50,2,"Dinləmə və danışma","1.2","Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.","2-1.2.1","Həyatdan və əldə etdiyi məlumatlardan nümunələr gətirməklə dinlədiyi fikrə münasibət bildirir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
54,2,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","2-1.3.3","Hər hansı hadisə, varlıq haqqında fikir və təəssüratlarını ifadə edir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","tətbiq etmək"
52,2,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","2-1.3.1","Oxuduğu və dinlədiyi mətnləri plan əsasında nəql edir.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","anlamaq"
53,2,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","2-1.3.2","Şəkil, sxem və illustrasiyaları rabitəli şəkildə şifahi təqdim edir.",2026-03-17 19:59:43.623487,"1a","inteqrasiya","anlamaq"
55,2,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","2-1.3.4","Araşdırma nəticəsində əldə etdiyi məlumatları rabitəli şəkildə təqdim edir.",2026-03-17 19:59:43.623487,"2","inteqrasiya","tətbiq etmək"
57,2,"Dinləmə və danışma","1.4","Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.","2-1.4.2","Danışarkən səs tonunun tənzimlənməsi, məntiqi vurğudan istifadə.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
56,2,"Dinləmə və danışma","1.4","Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.","2-1.4.1","Nitqində yeni öyrəndiyi söz və ifadələrdən kontekstə uyğun istifadə edir.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
59,2,"Oxu","2.1","Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.","2-2.1.2","Cümlədə durğu işarələrini nəzərə almaqla oxuyur.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
58,2,"Oxu","2.1","Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.","2-2.1.1","Müvafiq mətnləri sürətli və aydın səslə oxuyur.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
61,2,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","2-2.2.2","Qrafik təsvirlərdən istifadə etməklə mətndəki məlumatları mənimsədiyini nümayiş etdirir.",2026-03-17 19:59:43.623487,"1a","inteqrasiya","anlamaq"
60,2,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","2-2.2.1","Oxuduğu mətndəki hadisələri, obrazları, zaman, məkan, fakt və fikirləri müəyyənləşdirir.",2026-03-17 19:59:43.623487,"1a","məlumat alma","xatırlamaq"
62,2,"Oxu","2.2","Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.","2-2.2.3","Kontekstdən çıxış edərək sözün mənasını müəyyən edir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
63,2,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","2-2.3.1","Mətndəki hadisə, fakt və fikirlərin arasındakı əlaqəni müəyyən edir.",2026-03-17 19:59:43.623487,"1a","şərh etmə","anlamaq"
64,2,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","2-2.3.2","Mətndəki hadisələr və obrazların davranışından çıxış edərək xarakterləri təhlil edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","təhlil etmək"
65,2,"Oxu","2.3","Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.","2-2.3.3","Mətndə əsas fikri müəyyən edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
69,2,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","2-2.4.4","Müxtəlif mətnləri mövzu, məzmun və ideya baxımından müqayisə edir.",2026-03-17 19:59:43.623487,"2","qiymətləndirmə","təhlil etmək"
66,2,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","2-2.4.1","Mətndəki fakt, hadisə və obrazlara münasibətini bildirir.",2026-03-17 19:59:43.623487,"1a","qiymətləndirmə","anlamaq"
67,2,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","2-2.4.2","Mətni təxəyyülünə uyğun davam etdirir.",2026-03-17 19:59:43.623487,"2","qiymətləndirmə","yaratmaq"
68,2,"Oxu","2.4","Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.","2-2.4.3","Bədii və qeyri-bədii mətnlərin məzmun-struktur xüsusiyyətlərini izah edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
70,2,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","2-3.1.1","Yazısının aydın və oxunaqlı olması üçün müvafiq yazı normalarına əməl edir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
71,2,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","2-3.1.2","Məlumatları ardıcıllıqla əks etdirir.",2026-03-17 19:59:43.623487,"1b","birbaşa anlama","tətbiq etmək"
72,2,"Yazı","3.1","Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.","2-3.1.3","Öyrəndiyi sadə orfoqrafiya, qrammatika və punktuasiya qaydalarına yazısında riayət edir.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
73,2,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","2-3.2.1","Bildiyi və ya yeni tanış olduğu məlumatları yazısında əks etdirir.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
74,2,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","2-3.2.2","Təxəyyülünə əsasən sadə süjetli bədii mətn yazır.",2026-03-17 19:59:43.623487,"2","qiymətləndirmə","yaratmaq"
75,2,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","2-3.2.3","Suallar əsasında mövzu ilə bağlı qeyri-bədii (informativ) mətn yazır.",2026-03-17 19:59:43.623487,"1a","inteqrasiya","tətbiq etmək"
76,2,"Yazı","3.2","Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.","2-3.2.4","Təqdimat üçün müxtəlif vizual forma və üsullar seçir.",2026-03-17 19:59:43.623487,"1a","inteqrasiya","tətbiq etmək"
77,3,"Dil qaydaları","4.1","Orfoqrafiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","3-4.1.1","Sözlərdə sait və samitlərin yazılış qaydalarına riayət edir.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
78,3,"Dil qaydaları","4.1","Orfoqrafiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","3-4.1.2","Mürəkkəb sözlərin yazılış qaydalarına riayət edir.",2026-03-17 19:59:43.623487,"2","birbaşa anlama","tətbiq etmək"
79,3,"Dil qaydaları","4.1","Orfoqrafiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","3-4.1.3","Şəkilçilərin yazılış qaydalarına əməl edir.",2026-03-17 19:59:43.623487,"2","birbaşa anlama","tətbiq etmək"
80,3,"Dil qaydaları","4.2","Qrammatika: Nitq hissələrinin ümumi qrammatik mənalarını və morfoloji tərkibini müəyyən edir.","3-4.2.1","Nitq hissələrinin ümumi qrammatik mənalarını və morfoloji tərkibini müəyyən edir.",2026-03-17 19:59:43.623487,"2","məlumat alma","anlamaq"
81,3,"Dil qaydaları","4.2","Qrammatika: Nitq hissələrinin ümumi qrammatik mənalarını və morfoloji tərkibini müəyyən edir.","3-4.2.2","Sintaktik vahidlərin və cümlə komponentlərini və ifadə etdiyi semantik mənanı izah edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
83,3,"Dil qaydaları","4.3","Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.","3-4.3.2","Mürəkkəb cümlədə durğu işarələrindən istifadə edir.",2026-03-17 19:59:43.623487,"2","birbaşa anlama","tətbiq etmək"
82,3,"Dil qaydaları","4.3","Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.","3-4.3.1","Dialoqda müvafiq durğu işarələrindən istifadə edir.",2026-03-17 19:59:43.623487,"2","birbaşa anlama","tətbiq etmək"
84,3,"Dil qaydaları","4.4","Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.","3-4.4.1","Kontekstdən və morfoloji tərkibdən çıxış edərək sözün mənasını müəyyən edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
85,3,"Dil qaydaları","4.4","Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.","3-4.4.2","Sözlərin mənalarını müxtəlif üsullarla izah edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
86,3,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","3-1.1.1","Dinlədiyi mətnin məzmunu ilə bağlı əsas məqamları qeyd edir və onları verilmiş şəkillərlə əlaqələndirir.",2026-03-17 19:59:43.623487,"1a","məlumat alma","anlamaq"
87,3,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","3-1.1.2","Dinlədiyi mətni əsas epizoda istinad edərək dinlənilmiş mətnin ideyasının müəyyənləşdirilməsi.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
88,3,"Dinləmə və danışma","1.1","Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.","3-1.1.3","Dinlədiyi mətni genişləndirir, davamını təxmin edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
89,3,"Dinləmə və danışma","1.2","Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.","3-1.2.1","Müzakirələrdə çıxış edərkən mövzudan kənara çıxmır.",2026-03-17 19:59:43.623487,"1a","birbaşa anlama","tətbiq etmək"
90,3,"Dinləmə və danışma","1.2","Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.","3-1.2.2","Dinlədiyi fikirlərə münasibətini bildirməsi üçün arqumentlər gətirir.",2026-03-17 19:59:43.623487,"2","qiymətləndirmə","anlamaq"
91,3,"Dinləmə və danışma","1.2","Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.","3-1.2.3","Dialoq zamanı mövzu ilə bağlı müəyyən məqamları sual verməklə aydınlaşdırır.",2026-03-17 19:59:43.623487,"2","şərh etmə","anlamaq"
92,3,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","3-1.3.1","Oxuduğu və dinlədiyi mətnləri yaradıcı şəkildə nəql edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","tətbiq etmək"
93,3,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","3-1.3.2","Qrafik və ya verbal-qrafik informasiyanı rabitəli şəkildə şifahi təqdim edir.",2026-03-17 19:59:43.623487,"2","inteqrasiya","tətbiq etmək"
94,3,"Dinləmə və danışma","1.3","Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.","3-1.3.3","Mövzu ilə bağlı bildiklərini, fikir və təəssüratlarını rabitəli şəkildə təqdim edir.",2026-03-17 19:59:43.623487,"2","şərh etmə","tətbiq etmək"
